QuestionID,Domain,DomainName,Difficulty,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer,Explanation,CorrectReason,WrongReasonA,WrongReasonB,WrongReasonC,WrongReasonD,RelatedControl,Tags,ActiveFlag,CreatedDate
Q-D1-0011,1,AIガバナンスとプログラム管理,Medium,AI利用許諾ポリシー（AUP）を実装したが違反が依然として発生している。コンプライアンスを徹底し将来の違反を減らす最も効果的な統制はどれか。,明確な調査手続きと懲戒措置を定義する,AUPをより簡潔に書き直す,利用ログの保存期間を延長する,全従業員に再度同意を取得する,A,最も効果的なのは、明確な調査手続きと、ポリシー違反に対する懲戒措置を定義することである。実効性のない（teethのない）AUPは単なる提案に過ぎない。明確な執行プロセスは説明責任を促進し誤用を抑止し、AIポリシーの信頼性と実効性を支える。結果を伴わなければポリシーは形骸化する。,調査手続きと懲戒措置という執行の仕組みがAUPに実効性を与える。,正解,簡潔化は理解を助けるが執行力の欠如という根本問題を解決しない,ログ保存延長は執行手続きそのものではない,再同意取得は違反の抑止・是正にはつながらない,"ISO/IEC 42001, NIST AI RMF","AUP,執行,懲戒措置,説明責任,コンプライアンス",1,2026-06-23
Q-D1-0012,1,AIガバナンスとプログラム管理,Easy,金融不正を検知する新しいAIソリューションを導入する際、組織が最初に取るべき行動はどれか。,事業課題・ステークホルダーのニーズ・ソリューション要件を特定する,最適なMLアルゴリズムを選定する,学習用データソースを確保する,クラウドベンダーを選定する,A,最初の行動は、解決すべき事業課題・ステークホルダーのニーズ・ソリューション要件を特定することである。アルゴリズムやデータソースを考える前に、何を解決したいのかを正確に把握する必要がある。この基礎的ステップにより、AIソリューションが事業目標に整合し、ライフサイクル全体で法的・規制的・倫理的要件を満たすことが保証される。,解決すべき問題の定義が、あらゆる技術選定に先立つ最初のステップである。,正解,アルゴリズム選定は問題定義の後に来る,データ確保は要件定義の後の工程である,ベンダー選定は要件が固まってから行う,"NIST AI RMF, ISO/IEC 42001","問題定義,要件特定,ライフサイクル,不正検知,計画",1,2026-06-23
Q-D1-0013,1,AIガバナンスとプログラム管理,Medium,生成AIツールの社内利用に向けて初めてAI利用許諾ポリシー（AUP）を策定する際、最も重要な構成要素はどれか。,許可・制限されるAIユースケースのカテゴリを明示する,違反時の罰則金額を定める,利用可能なツール名を列挙する,ログ保存方針を記載する,A,最も重要な構成要素は、許可されるユースケースと制限されるユースケースのカテゴリを明示することである。ユースケースの制限はポリシーの戦略的文脈に基づいて定められ、許容される利用の境界を定義する。これにより誤用や予期せぬ有害な出力を防ぐことができる。戦略的整合と境界の明確化がAUPの土台となる。,許可・制限ユースケースの明示が利用の境界を定め誤用を防ぐ。,正解,罰則金額は執行手続きの一部だが、ポリシーの中核構成要素ではない,ツール名の列挙は変化しやすく、境界定義の本質ではない,ログ方針は運用上重要だが利用範囲の定義そのものではない,"ISO/IEC 42001, NIST AI RMF, EU AI Act","AUP,ユースケース,生成AI,利用範囲,ポリシー策定",1,2026-06-23
Q-D1-0014,1,AIガバナンスとプログラム管理,Easy,組織が責任あるAI（RAI）プログラムを立ち上げる際、最も効果的な最初の行動はどれか。,最上層からのリーダーシップの支持を確立する,全社にAIツールを配布する,KPIダッシュボードを構築する,外部コンサルタントを雇用する,A,最も効果的な最初の行動は、最上層からのリーダーシップの支持（leadership support）を確立することである。RAIプログラムが真に成功し影響力を持つには、リーダーが倫理的価値を体現し、組織全体の信頼を築き、全社的な採用を推進する積極的・可視的な後押しが必要である。リーダーの関与が期待値と方向性を定め、長期的な説明責任の土台となる。,トップのリーダーシップ支持が責任あるAIプログラムの方向性と説明責任を定める。,正解,ツール配布はリーダーシップの後ろ盾なしには定着しない,KPI構築は後続の運用要素であり最初の一手ではない,外部委託はリーダーシップによる主体的関与の代替にならない,"NIST AI RMF (Govern), ISO/IEC 42001","責任あるAI,リーダーシップ,トーンフロムトップ,プログラム立ち上げ,説明責任",1,2026-06-23
Q-D1-0015,1,AIガバナンスとプログラム管理,Easy,金融など規制の厳しい分野（例：不正検知システム）でAIガバナンスポリシーが必要とされる最大の理由はどれか。,規制コンプライアンス（説明可能で監査可能な意思決定の要求）,推論レイテンシの最小化,クラウドコストの削減,モデルの訓練速度の向上,A,規制の厳しい分野でAIガバナンスポリシーが必要な最大の理由は規制コンプライアンスである。これらの領域は厳格なフレームワーク下で運用され、説明可能・監査可能な意思決定を要求する。文書化と明確なポリシーがなければ重大な罰則につながり得るため、これは任意ではなく必須である。,規制領域では説明可能・監査可能な意思決定が法的に要求され、その担保がガバナンスポリシーの第一義。,正解,レイテンシ最小化は技術性能の課題で、ガバナンスポリシーの主たる目的ではない。,コスト削減は副次的関心で、規制領域での必須要件ではない。,訓練速度向上は技術効率の問題で、ポリシー要請の核心ではない。,"GDPR, EU AI Act, 規制コンプライアンス","ガバナンス,規制コンプライアンス,説明可能性,監査可能性",1,2026-06-23
Q-D1-0016,1,AIガバナンスとプログラム管理,Medium,AIシステムにおいて人間の監督と検証（ヒューマン・オーバーサイト）が極めて重要である主な理由はどれか。,倫理的に妥当な意思決定を担保し、バイアスや誤りをシステム運用前に捕捉して信頼を構築するため,自動化を完全に排除して人手作業に戻すため,推論速度を高めるため,ライセンスコストを削減するため,A,自動化が目的であっても、人間の監督と検証は不可欠である。倫理的に妥当な意思決定を担保し、潜在的なバイアスや単純な誤りをシステム運用前に捕捉するためである。たとえば医療診断AIでは、生死に関わる判断を人間の専門家が検証する必要がある。精度・想定外リスクの管理・信頼構築の観点から、人間による検証は信頼性の要となる。,人間の監督は自動化の否定ではなく、倫理性・誤り捕捉・信頼性を担保する検証ポイントである。,正解,人間の監督は自動化の利点を活かしつつ補完するもので、人手作業への完全回帰が目的ではない。,推論速度向上は人間の監督の目的ではない。,コスト削減は人間の監督の主たる狙いではない。,"ヒューマン・オーバーサイト, HITL, 信頼性","人間の監督,HITL,倫理,信頼性",1,2026-06-23
Q-D1-0017,1,AIガバナンスとプログラム管理,Medium,求人応募のスクリーニングにAIを用いる場合、そのAIを説明可能にすることの主な目的はどれか。,採用判断の透明性を促進し、採用担当者が選考基準を理解できるようにする,モデルの推論コストを削減する,訓練データの保持期間を延ばす,ベンダーへの責任移転を可能にする,A,求人スクリーニングでAIを説明可能にする主目的は、採用判断の透明性を促進することである。これにより採用担当者がAIの用いた選考基準を理解でき、プロセスを明確化できる。説明可能性はコンプライアンスにつながると同時に、AIの判断に影響を受ける人々が理由を知る権利にも応える。,説明可能性の狙いは、選考基準を可視化して採用判断の透明性を確保することにある。,正解,推論コスト削減は説明可能性の目的ではない。,データ保持期間の延長は無関係である。,責任移転は契約上のIP補償などの話で、説明可能性の目的ではない。,"説明可能性（XAI）, 透明性, 監査可能性","説明可能性,透明性,採用スクリーニング,選考基準",1,2026-06-23
Q-D1-0018,1,AIガバナンスとプログラム管理,Medium,複数の地域で事業展開する多国籍企業が、地域ごとに異なるAI規制に対して合法かつ倫理的であり続けるための最善のアプローチはどれか。,地理的拠点に基づき、該当する地域・国際規制を内部ガバナンスポリシーにマッピングする,完全な国際的整合が取れるまで全展開を停止する,本社所在国の規制のみに従う,最も緩い規制に合わせて統一する,A,最善のアプローチは、地理的拠点に基づいて該当する地域・国際規制を内部ガバナンスポリシーにマッピングすることである。完全な国際的整合を待って展開を止めるのは現実的でない。能動的かつローカライズされたポリシーマッピングにより、関連規則に合わせて調整する。,展開を止めるのではなく、拠点ごとの規制を内部ポリシーへ能動的にマッピングして適合させる。,正解,完全整合まで展開を停止するのは非現実的で、ビジネス上も不適切。,本社所在国のみに従うと、他地域の規制違反を招く。,最も緩い規制への統一は、厳格な地域での違反リスクを生む。,"規制マッピング, 多地域コンプライアンス, ローカライズ","多国籍,規制マッピング,ガバナンスポリシー,ローカライズ",1,2026-06-23
Q-D1-0019,1,AIガバナンスとプログラム管理,Medium,大企業の多数のAIプロジェクトにわたり、説明責任（アカウンタビリティ）と倫理的監督を確保するうえで、正式なガバナンスフレームワークが果たす最も重要な役割はどれか。,明確な役割と責任を割り当てる,推論パイプラインを高速化する,クラウドベンダーを一社に統一する,全モデルを同一アルゴリズムに統一する,A,正式なガバナンスフレームワークがアカウンタビリティと倫理的監督を最もよく確保できるのは、明確な役割と責任を割り当てるからである。誰が意思決定し、誰がポリシーを管理し、誰が全体を監督するのかを明確化することが、組織横断的な責任ある倫理的なAI利用を促進する。,誰が何に責任を持つかを明確化することが、組織横断のアカウンタビリティを成立させる。,正解,推論の高速化は技術性能の話で、アカウンタビリティ確保の本質ではない。,ベンダー統一はガバナンスフレームワークの主目的ではない。,アルゴリズム統一は用途多様性を損ない、アカウンタビリティの要件ではない。,"ガバナンスフレームワーク, 役割と責任（RACI）","ガバナンスフレームワーク,アカウンタビリティ,役割と責任,倫理的監督",1,2026-06-23
Q-D1-0020,1,AIガバナンスとプログラム管理,Medium,銀行や医療など高度に規制された組織が、AIプロジェクトをビジネス目標および倫理基準と整合させるための最善の方法はどれか。,主要なステークホルダーを集めたAIステアリングコミッティを設置する,各プロジェクトチームに完全に判断を委ねる,外部コンサルタントに全権を委任する,倫理判断を自動化ツールに任せる,A,高度に規制された組織にとって、AIステアリングコミッティの設置が最善である。AIプロジェクトがビジネス目標を達成し、複雑な規制・倫理要件を満たすことに責任を持つ主要ステークホルダーを集めることで、意思決定を中央化し、統一されたビジョンを提供できる。,戦略的整合と監督には、主要ステークホルダーを束ねるステアリングコミッティによる中央化が有効。,正解,各チーム任せでは統一的な戦略整合と全社的監督が欠ける。,外部コンサルへの全権委任は内部の説明責任と整合を担保しない。,倫理判断の自動化は人間の監督を欠き、規制・倫理要件を満たせない。,"AIステアリングコミッティ, ステークホルダー管理","ステアリングコミッティ,戦略整合,規制対応,倫理基準",1,2026-06-23
Q-D1-0021,1,AIガバナンスとプログラム管理,Medium,技術と規制の環境が急速に変化する中で、生成AIポリシーを継続的に見直し・更新することが極めて重要である主な理由はどれか。,規制および技術環境が急速に進化し、コンプライアンスギャップや想定外の利用を防ぐ必要があるため,一度策定すれば内容は普遍的に有効だから,ポリシー文書の体裁を整えるため,監査人の関与を不要にするため,A,生成AIポリシーを見直し・更新する最も重要な理由は、規制と技術の環境が急速に進化するからである。法律が変わり、新たな脅威が現れ、新機能が登場する。ポリシーを最新に保たなければ、コンプライアンスギャップや従業員による想定外の利用を招く。「設定して放置」はできない。,環境が動的に変化するため、ポリシーを静的に放置するとギャップと逸脱利用を生む。,正解,ポリシーは普遍的に有効ではなく、環境変化に応じた更新が必要。,体裁を整えるためという理由は本質を外している。,監査人の関与は依然必要であり、不要にはならない。,"ポリシーライフサイクル管理, 生成AIポリシー","生成AIポリシー,ポリシー更新,コンプライアンスギャップ,進化する環境",1,2026-06-23
Q-D1-0022,1,AIガバナンスとプログラム管理,Medium,AI推薦エンジンを自社開発するか既製品を購入するか（ビルド対バイ）を判断する際、最も重要な要因はどれか。,ビジネスニーズとの戦略的整合,初期導入コストの安さのみ,ベンダーの知名度,実装に使われるプログラミング言語,A,最も重要な要因はビジネスニーズとの戦略的整合である。自社開発が独自の競争優位をもたらすか、購入が目標に沿った形で市場投入を速めるか――この戦略的フィットが長期的な存続可能性に決定的である。技術はビジネス戦略に資するものでなければならない。,コストや機能より、ビジネス戦略への適合（戦略的整合）が長期的価値を決める。,正解,初期コストの安さのみでは長期的な戦略適合を保証しない。,ベンダーの知名度は戦略的整合の本質的判断基準ではない。,プログラミング言語は実装詳細で、ビルド対バイの主要判断要因ではない。,"ビルド対バイ判断, 戦略的整合","ビルド対バイ,戦略的整合,推薦エンジン,意思決定",1,2026-06-23
Q-D1-0023,1,AIガバナンスとプログラム管理,Easy,新しい生成AIアシスタントを従業員に展開する際、責任ある利用を確保するために最初に取るべき行動はどれか。,許容利用ポリシー（AUP）を含む対象を絞ったトレーニングを提供する,全従業員に無制限のアクセスを即時付与する,利用ログの収集を停止する,ポリシー策定を利用開始後まで延期する,A,最初に取るべき行動は、許容利用ポリシー（AUP）を含む対象を絞ったトレーニングを提供することである。従業員が何をしてよく何をしてはならないか、機微データの扱い、期待される行動を理解することは基礎的であり、誤用や情報漏えいを減らし、初日から全員の認識を揃える。,責任ある利用は、AUPとトレーニングで境界と期待を最初に共有することから始まる。,正解,無制限アクセスの即時付与はガードレールなしの「ワイルドウェスト」状態を招く。,ログ収集の停止は監視・トレーサビリティを損ない逆効果。,ポリシー策定の延期は誤用や漏えいのリスクを高める。,"許容利用ポリシー（AUP）, セキュリティ教育","AUP,トレーニング,生成AI,責任ある利用",1,2026-06-23
Q-D1-0024,1,AIガバナンスとプログラム管理,Hard,データセット、組織の慣行、プロセス全体にわたって埋め込まれ、社会的バイアスや歴史的不平等を反映するような、AIライフサイクル全体に及ぶバイアスの種類はどれか。,システミックバイアス,測定バイアス（計測誤差由来）,サンプリングバイアスのみ,確証バイアス（個人の認知）,A,そうした遍在的なバイアスはシステミックバイアスである。データセットだけでなく、組織の慣行やプロセスにも埋め込まれ、データが歴史的にどう収集されたか、誰がAIで解くべき問題を決めるかまで含む。コードの不具合ではなく、AIが学んだ世界の反映であることが多い。,データのみならず組織の慣行・プロセス全体に埋め込まれ、社会的不平等を反映する点が特徴。,正解,測定バイアスは計測の誤差に由来する局所的なもので、ライフサイクル全体への遍在ではない。,サンプリングバイアスはデータ抽出の偏りで、組織慣行・プロセス全体には及ばない。,確証バイアスは個人の認知傾向で、システム全体に埋め込まれる種類とは異なる。,"システミックバイアス, 公平性, バイアス分類","システミックバイアス,公平性,歴史的不平等,ライフサイクル",1,2026-06-23
Q-D1-0025,1,AIガバナンスとプログラム管理,Medium,アルゴリズムによるバイアスや差別を低減するために最も有効な方法はどれか。,意思決定ツールに対して監査を実施する,訓練データを大量に追加するだけにする,モデルの推論速度を上げる,出力をすべて人間が手動で書き換える,A,継続的監視も重要だが、意思決定ツールに対して監査を実施することがアルゴリズムバイアスや差別の低減に最も有効である。監査はAIの出力や判断を体系的に精査し、入力データが一見クリーンでも、ツールが実際に公平な判断をしているかを明らかにし、見えにくいシステミックな問題を発見できる。,出力・判断を体系的に監査することで、入力が清浄でも残る差別的影響を検出できる。,正解,データ追加だけでは偏りの構造的原因を是正できるとは限らない。,推論速度の向上はバイアス低減と無関係。,出力の手動書き換えは場当たり的で、体系的なバイアス低減にならない。,"アルゴリズム監査, 公平性評価","アルゴリズムバイアス,監査,差別防止,意思決定ツール",1,2026-06-23
Q-D1-0026,1,AIガバナンスとプログラム管理,Medium,許容利用ポリシー（AUP）などのポリシーを実効的に遵守させるために最も効果的な統制はどれか。,調査手順や懲戒措置を含む、明確に定義された執行プロセス,ポリシーをイントラネットに掲示するだけにする,違反時に口頭で注意するのみ,ポリシーを年に一度読み上げる,A,ポリシーには実効力が必要であり、最も効果的な統制は明確に定義された執行プロセスである。これは調査プロトコルや懲戒措置といった実際の結果を伴う。ルールが重要で確実に執行されると周知することが、ポリシーの信頼性を担保する。,ポリシーは執行プロセス（調査・懲戒）という実効的な結果を伴ってこそ信頼性を持つ。,正解,掲示するだけでは執行の実効性がなく、遵守は担保されない。,口頭注意のみでは一貫した結果（コンセクエンス）を欠く。,年一回の読み上げは執行プロセスとは言えず、実効性に乏しい。,"ポリシー執行, 懲戒手続, ガバナンス","AUP,執行プロセス,懲戒措置,ポリシー遵守",1,2026-06-23
Q-D1-0027,1,AIガバナンスとプログラム管理,Easy,金融不正検知などのAIプロジェクトを開始する際、何よりも先に行うべき最初の行動はどれか。,ビジネス課題、ステークホルダーのニーズ、ソリューション要件を特定する,最先端のモデルアーキテクチャを選定する,クラウドベンダーと契約する,GPUクラスタを調達する,A,最初の行動は、ビジネス課題・ステークホルダーのニーズ・ソリューション要件を特定することである。何を解決しようとしているのか、誰がこれを必要とするのか、成功とは何かを明確化する。問題と要件が十分に定義されていなければ、AIプロジェクトが成功する見込みは低い。,技術選定よりも先に、解くべき問題と要件を明確に定義することがプロジェクト成功の前提。,正解,モデルアーキテクチャの選定は問題定義の後に行うべき技術判断。,クラウド契約は要件が定まってから検討する事項。,GPU調達はニーズと要件の特定後に判断すべきインフラ手配。,"問題定義, 要件定義, AIプロジェクト開始","問題定義,要件定義,ステークホルダー,プロジェクト開始",1,2026-06-23
Q-D1-0028,1,AIガバナンスとプログラム管理,Medium,生成AI向けの許容利用ポリシー（AUP）に含めるべき最も重要な構成要素はどれか。,許可される利用ケースと制限される利用ケースのカテゴリを明示する,ベンダーの社名一覧を列挙する,モデルの内部パラメータ数を記載する,クラウド料金表を添付する,A,生成AIのAUPに含めるべき最も重要な構成要素は、許可・制限される利用ケースのカテゴリを明示することである。何に使ってよく、何が完全に禁止かという明確な境界を示す。これらの制限は文脈・データ機微性・潜在リスク・会社方針に依存するが、利用ケースの定義が最重要である。,AUPの核心は、許可と禁止の利用ケースという明確な境界（サンドボックス）を定義すること。,正解,ベンダー社名一覧はAUPの中核的要素ではない。,内部パラメータ数は利用者向けポリシーに不要。,クラウド料金表はAUPの目的（利用境界の明示）と無関係。,"許容利用ポリシー（AUP）, 利用ケース定義","AUP,利用ケース,許可と制限,生成AI",1,2026-06-23
Q-D1-0029,1,AIガバナンスとプログラム管理,Medium,責任あるAI（RAI）プログラムを成功裏に立ち上げるために最も効果的な最初の行動はどれか。,リーダーシップの支持を確立し、責任ある倫理的なAI利用のトーンを設定する,まず全モデルを本番にデプロイする,外部監査人を雇って評価させる,技術スタックを先に確定する,A,最も効果的な最初の行動は、リーダーシップの支持を確立し、責任ある倫理的なAI利用のトーンを設定することである。トップによる積極的な支持、倫理的価値の旗振り、信頼構築、全社的な採用の推進がなければ、こうしたプログラムは推進力を得にくい。,トップダウンの支持がトーンを設定し、全社的な推進力の基盤となる。,正解,先に本番デプロイするのは順序が逆で、RAIの土台を欠く。,外部監査は有用だが、立ち上げの最初の行動としての推進力にはならない。,技術スタック確定は後段の話で、プログラム立ち上げの起点ではない。,"リーダーシップ支持, 責任あるAI（RAI）プログラム","責任あるAI,リーダーシップ,プログラム立ち上げ,トーン設定",1,2026-06-23
